0x02,0x37,2635-222,"Insteon On/Off Module, US (915 MHz) "
0x02,0x38,2634-222,On/Off Outdoor Module (Dual-Band) 
0x02,0x39,2663-222,On/Off Outlet 
0x02,0x3A,2633-452,"Insteon On/Off Module, Chile (915 MHz) "
0x03,0x01,2414S,PowerLinc Serial Controller 
0x03,0x02,2414U,PowerLinc USB Controller 
0x03,0x03,2814S,ICON PowerLinc Serial 
0x03,0x04,2814U,ICON PowerLinc USB 
0x03,0x05,2412S,PowerLinc Serial Modem 
0x03,0x06,2411R,IRLinc Receiver 
0x03,0x07,2411T,IRLinc Transmitter 
0x03,0x09,2600RF,SmartLabs RF Developer’s Board 
0x03,0x0A,2410S,SeriaLinc - Insteon to RS232 
0x03,0x0B,2412U,PowerLinc USB Modem 
0x03,0x0F,EZX10IR,EZX10IR X10 IR Receiver 
0x03,0x10,2412N,SmartLinc 
0x03,0x11,2413S,PowerLinc Serial Modem (Dual Band) 
0x03,0x13,2412UH,PowerLinc USB Modem for HouseLinc 
0x03,0x14,2412SH,PowerLinc Serial Modem for HouseLinc 
0x03,0x15,2413U,PowerLinc USB Modem (Dual Band) 
0x03,0x18,2243-222,Insteon Central Controller (915 MHz) 
0x03,0x19,2413SH,PowerLinc Serial Modem for HL(Dual Band) 
0x03,0x1A,2413UH,PowerLinc USB Modem for HL (Dual Band) 
0x03,0x1B,2423A4,iGateway 
0x03,0x1C,2423A7,iGateway 2.0 
0x03,0x1E,2412S,PowerLincModemSerial w/o EEPROM(w/o RF) 
0x03,0x1F,2448A7,USB Adapter - Domestically made 
0x03,0x20,2448A7,USB Adapter 
0x03,0x21,2448A7H,Portable USB Adapter for HouseLinc 
0x03,0x23,2448A7H,Portable USB Adapter for HouseLinc 
0x03,0x24,2448A7T,TouchLinc 
0x03,0x27,2448A7T,TouchLinc 
0x03,0x28,2413Gxx,"Global PLM, Dual Band (915 MHz) "
0x03,0x29,2413SAD,"PowerLinc Serial Modem (Dual Band) RF OFF, Auto Detect 128K "
0x03,0x2B,2242-222,Insteon Hub (915 MHz) - no RF 
0x03,0x2E,2242-422,Insteon Hub (EU - 869 MHz) 
0x03,0x2F,2242-522,Insteon Hub (921 MHz) 
0x03,0x30,2242-442,Insteon Hub (UK - 869 MHz) 
0x03,0x31,2242-232,Insteon Hub (Plug-In Version) 
0x03,0x33,2245-222,Insteon Hub II (915 MHz) 
0x03,0x37,2242-222,Insteon Hub (915 MHz) - RF 
0x04,0x00,31270,Compacta EZRain Sprinkler Controller 
0x05,0x00,2670IAQ-80,Broan SMSC080 Exhaust Fan (no beeper) 
0x05,0x02,2670IAQ-110,Broan SMSC110 Exhaust Fan (no beeper) 
0x05,0x03,2441V,Thermostat Adapter 
0x05,0x07,2441ZT,Insteon Wireless Thermostat 
0x05,0x0A,2441ZTH,Insteon Wireless Thermostat (915 MHz) 
0x05,0x0B,2441TH,Insteon Thermostat (915 MHz) 
0x05,0x0C,2670IAQ-80,Broan SMSC080 Switch for 80CFM Fans 
0x05,0x0D,2670IAQ-110,Broan SMSC110 Switch for 110CFM Fans 
0x05,0x0E,2491TxE,Integrated Remote Control Thermostat 
0x05,0x0F,2732-422,Insteon Thermostat (869 MHz) 
0x05,0x10,2732-522,Insteon Thermostat (921 MHz) 
0x05,0x11,2732-432,Insteon Zone Thermostat (869 MHz) 
0x05,0x12,2732-532,Insteon Zone Thermostat (921 MHz) 
0x05,0x13,2732-242,Heat Pump Thermostat - US/Can (915MHz)
0x05,0x14,2732-242,Heat Pump Thermostat - Europe (869.85MHz)
0x05,0x15,2732-242,Heat Pump Thermostat - Aus/NZ (921MHz)
0x07,0x00,2450,I/OLinc 
0x07,0x03,31274,Compacta EZIO2X4 #5010D 
0x07,0x05,31275,Compacta EZSnsRF RcvrIntrfc Dakota Alert 
0x07,0x07,31280,EZIO6I (6 inputs) 
0x07,0x08,31283,EZIO4O (4 relay outputs) 
0x07,0x09,2423A5,SynchroLinc 
0x07,0x0C,2448A5,Lumistat 
0x07,0x0D,2450,I/OLinc 50/60Hz Auto Detect 
0x07,0x0E,2248-222,I/O Module - US (915 MHz) 
0x07,0x0F,2248-422,I/O Module - EU (869.85 MHz) 
0x07,0x10,2248-442,I/O Module - UK (869.85 MHz) 
0x07,0x11,2248-522,I/O Module - AUS (921 MHz) 
0x07,0x12,2822-222,IOLinc Dual-Band - US 
0x07,0x13,2822-422,IOLinc Dual-Band - EU 
0x07,0x14,2822-442,IOLinc Dual-Band - UK 
0x07,0x15,2822-522,IOLinc Dual-Band - AUS/NZ 
0x07,0x16,2822-222,Low Voltage/Contact Closure Interface (Dual Band) - US 
0x07,0x17,2822-422,Low Voltage/Contact Closure Interface (Dual Band) - EU 
0x07,0x18,2822-442,Low Voltage/Contact Closure Interface (Dual Band) - UK 
0x07,0x19,2822-522,Low Voltage/Contact Closure Interface (Dual Band) - AUS/NZ 
0x09,0x07,2423A1,iMeter Solo 
0x09,0x08,2423A2,iMeter Home (Breaker Panel) 
0x09,0x09,2423A3,iMeter Home (Meter) 
0x09,0x0A,2477SA1,220/240V 30A Load Controller NO (DB) 
0x09,0x0B,2477SA2,220/240V 30A Load Controller NC (DB) 
0x09,0x0C,2630A1,GE Water Heater U-SNAP module 
0x09,0x0D,2448A2,Energy Display 
0x09,0x0E,2423A6,Power Strip with iMeter and SynchroLinc 
0x09,0x11,2423A8,Insteon Digital Meter Reader 
0x0E,0x00,318276I,Somfy Drape Controller RF Bridge 
0x0E,0x01,2444-222,Insteon Micro Open/Close (915 MHz) 
0x0E,0x02,2444-422,Insteon Micro Open/Close (869 MHz) 
0x0E,0x03,2444-522,Insteon Micro Open/Close (921 MHz) 
0x0E,0x04,2772-222,Window Shade Kit - US 
0x0E,0x05,2772-422,Window Shade Kit - EU 
0x0E,0x06,2772-522,Window Shade Kit - AUS/NZ 
0x0F,0x06,2458A1,MorningLinc 
0x10,0x01,2842-222,Motion Sensor - US (915 MHz) 
0x10,0x02,2843-222,Insteon Open/Close Sensor (915 MHz) 
0x10,0x04,2842-422,Insteon Motion Sensor (869 MHz) 
0x10,0x05,2842-522,Insteon Motion Sensor (921 MHz) 
0x10,0x06,2843-422,Insteon Open/Close Sensor (869 MHz) 
0x10,0x07,2843-522,Insteon Open/Close Sensor (921 MHz) 
0x10,0x08,2852-222,Leak Sensor - US (915 MHz) 
0x10,0x09,2843-232,Insteon Door Sensor
0x10,0x0A,2982-222,Smoke Bridge 
0x10,0x0D,2852-422,Leak Sensor - EU (869 MHz) 
0x10,0x0E,2852-522,Leak Sensor - AUS/NZ (921 MHz) 
0x10,0x11,2845-222,Door Sensor II (915 MHz) 
0x10,0x14,2845-422,Door Sensor II (869 MHz) 
0x10,0x15,2845-522,Door Sensor II (921 MHz)
0x10,0x16,2844-222,Motion Sensor  - US (915 MHz) 
